"Freq [GHz]","mag(S(SMA_connector_FPRFS_IP1_1,SMA_connector_FPRFS_IP1_1)) []"
0.1,0.747997029255377
0.11,0.742162230239816
0.12,0.738612489532414
0.13,0.73701467404477
0.14,0.737057594818603
0.15,0.738461041930614
0.16,0.740978180589556
0.17,0.744394530867249
0.18,0.748525364958451
0.19,0.753212522831608
0.2,0.758321166200726
0.21,0.763736721522885
0.22,0.769362116564318
0.23,0.775115338691319
0.24,0.780927305353077
0.25,0.786740020487701
0.26,0.792504984842185
0.27,0.798181827956741
0.28,0.803737131851664
0.29,0.809143419706622
0.3,0.814378286248981
0.31,0.819423649799783
0.32,0.824265108814511
0.33,0.828891388264252
0.34,0.833293863347714
0.35,0.837466149844277
0.36,0.841403751957228
0.37,0.845103759797824
0.38,0.848564589763069
0.39,0.851785761996186
0.4,0.854767709916171
0.41,0.857511617484221
0.42,0.860019280459007
0.43,0.862292988394896
0.44,0.864335424570038
0.45,0.866149581404877
0.46,0.867738689255045
0.47,0.86910615674257
0.48,0.870255521032232
0.49,0.871190406670635
0.5,0.871914491788516
0.51,0.872431480625723
0.52,0.872745081476309
0.53,0.872858989271065
0.54,0.872776872118882
0.55,0.872502361218743
0.56,0.872039043632567
0.57,0.871390457477183
0.58,0.87056008915278
0.59,0.869551372276321
0.6,0.868367688032818
0.61,0.8670123666958
0.62,0.8654886901016
0.63,0.863799894890971
0.64,0.861949176356518
0.65,0.85993969275609
0.66,0.857774569971047
0.67,0.855456906404596
0.68,0.852989778029499
0.69,0.85037624350675
0.7,0.847619349307476
0.71,0.84472213477964
0.72,0.841687637109261
0.73,0.838518896132996
0.74,0.835218958965203
0.75,0.831790884408148
0.76,0.828237747118932
0.77,0.824562641511078
0.78,0.820768685372665
0.79,0.81685902318641
0.8,0.812836829140294
0.81,0.808705309820247
0.82,0.804467706579078
0.83,0.800127297578227
0.84,0.795687399501259
0.85,0.791151368939984
0.86,0.786522603456129
0.87,0.78180454232317
0.88,0.777000666954637
0.89,0.772114501026699
0.9,0.767149610304247
0.91,0.762109602180917
0.92,0.756998124944712
0.93,0.751818866781846
0.94,0.746575554532363
0.95,0.741271952211873
0.96,0.735911859314362
0.97,0.730499108911611
0.98,0.725037565565096
0.99,0.719531123066576
1,0.71398370202364
1.01,0.708399247306584
1.02,0.702781725372782
1.03,0.69713512148456
1.04,0.691463436836162
1.05,0.685770685604956
1.06,0.680060891941429
1.07,0.674338086911832
1.08,0.668606305406544
1.09,0.662869583026348
1.1,0.657131952957844
1.11,0.651397442848204
1.12,0.645670071688364
1.13,0.639953846712609
1.14,0.634252760321334
1.15,0.628570787032516
