"Freq [GHz]","mag(S(SMA_connector_1_5mm_general1_1,SMA_connector_1_5mm_general1_1)) []"
2.44,0.673550952835228
2.45,0.646157117150113
2.46,0.615229917991391
2.47,0.580331081937365
2.48,0.541022120108898
2.49,0.49690141253565
2.5,0.447662101718921
2.51,0.393178621600346
2.52,0.333636360747483
2.53,0.269747536726056
2.54,0.203228799083922
2.55,0.138418658113026
2.56,0.0898112576102347
2.57,0.0942882949601844
2.58,0.146346648825735
2.59,0.210571942806489
2.6,0.274735386968324
2.61,0.334884049595641
2.62,0.389290346818784
2.63,0.437142071761728
2.64,0.47812762225766
2.65,0.512227831378497
2.66,0.539577562415816
2.67,0.560365730015143
2.68,0.574764149524291
2.69,0.582880109025939
2.7,0.584729438478636
2.71,0.580229476843149
2.72,0.569215446955204
2.73,0.551489605452115
2.74,0.526920337746944
2.75,0.495617998942603
2.76,0.458224599581254
2.77,0.416360585302148
2.78,0.373251746305272
2.79,0.334412718916217
2.8,0.307691457088793
2.81,0.300966917695229
2.82,0.317155412336422
2.83,0.351894108924418
2.84,0.397373024624814
2.85,0.446757077884926
2.86,0.495567946050404
2.87,0.54133248306223
2.88,0.582918090018314
2.89,0.619998127591639
2.9,0.652692056641643
2.91,0.681340693349845
2.92,0.706373298544729
2.93,0.728233438763879
2.94,0.747340805485448
2.95,0.764074109309726
2.96,0.778765748540196
2.97,0.791702654823328
2.98,0.80313006696353
2.99,0.813256420257844
3,0.822258390052759
3.01,0.830285618147099
3.02,0.83746492361344
3.03,0.843903945492687
3.04,0.849694238033864
3.05,0.854913871901862
3.06,0.859629605753936
3.07,0.863898692441085
3.08,0.867770378758304
3.09,0.871287150361226
3.1,0.874485765851505
3.11,0.877398116910418
3.12,0.880051945060089
3.13,0.882471440238119
3.14,0.884677741845907
3.15,0.886689359182261
3.16,0.888522525093848
3.17,0.890191494156098
3.18,0.891708794645437
3.19,0.893085441892534
3.2,0.894331119245505
3.21,0.895454331763441
3.22,0.896462536855721
3.23,0.897362255342519
3.24,0.898159165804901
3.25,0.898858184593259
3.26,0.899463533449995
3.27,0.899978796359447
3.28,0.900406966951798
3.29,0.900750487546885
3.3,0.90101128071958
3.31,0.901190774093509
3.32,0.901289918918155
3.33,0.901309202850842
3.34,0.90124865724535
3.35,0.901107859139702
3.36,0.900885928033072
3.37,0.900581517443821
3.38,0.900192801143845
3.39,0.899717453866885
3.4,0.899152626187471
3.41,0.898494913160064
3.42,0.897740316192719
3.43,0.896884197502934
3.44,0.895921226362777
3.45,0.894845316182493
3.46,0.893649551303423
3.47,0.892326102168093
3.48,0.890866127304293
3.49,0.88925966029605
3.5,0.88749547961372
3.51,0.885560958833832
3.52,0.883441894392676
3.53,0.881122307584959
3.54,0.878584217038797
3.55,0.875807377376523
3.56,0.872768979217559
3.57,0.869443305116836
3.58,0.865801335498188
3.59,0.861810298199846
3.6,0.857433154999966
3.61,0.852628018590959
3.62,0.847347494162753
3.63,0.8415379413984
3.64,0.835138655817344
3.65,0.828080973811566
3.66,0.820287314551306
3.67,0.811670185833062
3.68,0.802131202223352
3.69,0.79156019574617
3.7,0.779834546265448
3.71,0.76681892644983
3.72,0.752365752206413
3.73,0.736316762720268
3.74,0.71850633473004
3.75,0.698767372955511
3.76,0.676940918850913
3.77,0.652890980796118
3.78,0.626526491430832
3.79,0.597832692836326
3.8,0.566914532480909
3.81,0.534054598655017
3.82,0.499787217250511
3.83,0.464987291530543
3.84,0.430964178634673
3.85,0.399530931209198
3.86,0.372979655711192
3.87,0.353844020811012
3.88,0.344345814809714
3.89,0.345640378891852
3.9,0.357319036735135
3.91,0.377590223040444
3.92,0.403985377922003
3.93,0.434062109114329
3.94,0.465795365740303
3.95,0.497681579470731
3.96,0.528691736668102
3.97,0.558174740846154
3.98,0.585759495683183
3.99,0.611272526793281
4,0.634674135236308
4.01,0.656011158282814
4.02,0.675383144026891
4.03,0.692918803595269
4.04,0.708760076897396
4.05,0.723051695190158
4.06,0.735934624641552
4.07,0.747542192186126
4.08,0.757998024392659
4.09,0.767415181118171
4.1,0.775896051996474
4.11,0.78353271910358
4.12,0.790407585678038
4.13,0.796594138598585
4.14,0.802157759304511
4.15,0.807156529944945
4.16,0.811642003162669
4.17,0.815659918242888
4.18,0.819250855662622
4.19,0.822450827963832
4.2,0.825291808461763
4.21,0.827802201360907
4.22,0.830007257914579
4.23,0.831929443689309
4.24,0.833588762024253
4.25,0.835003038569582
4.26,0.836188171452269
4.27,0.837158351220761
4.28,0.837926254304948
4.29,0.838503213320905
4.3,0.838899367165405
4.31,0.839123793492183
4.32,0.839184625841929
4.33,0.839089157413034
4.34,0.838843933207287
4.35,0.838454832062784
4.36,0.837927139892042
4.37,0.837265615273642
4.38,0.836474548398492
4.39,0.835557814243432
4.4,0.834518920733603
4.41,0.833361052558497
4.42,0.832087111222216
4.43,0.830699751835555
4.44,0.829201417093412
4.45,0.827594368825243
4.46,0.825880717457008
4.47,0.824062449679635
4.48,0.822141454580468
4.49,0.820119548459566
4.5,0.81799849852148
