"Freq [GHz]","RadiationEfficiency []"
0.1,0.575031100626803
0.11,0.585276077400892
0.12,0.59122918819908
0.13,0.593685675935437
0.14,0.593243767261659
0.15,0.590350846872225
0.16,0.58534557569955
0.17,0.578484946124382
0.18,0.56996237220493
0.19,0.559918429165655
0.2,0.54844289957097
0.21,0.53557060803687
0.22,0.521319105157549
0.23,0.506031574976172
0.24,0.490708677578669
0.25,0.475137611814119
0.26,0.458455099267816
0.27,0.440680080705652
0.28,0.422029824873277
0.29,0.402665131577272
0.3,0.382706130285224
0.31,0.362257215014679
0.32,0.341419603078181
0.33,0.320296771173499
0.34,0.2989969004008
0.35,0.277633888924025
0.36,0.256327503976588
0.37,0.235202987880763
0.38,0.214390235827886
0.39,0.194022609765659
0.4,0.174235442691388
0.41,0.155164277381166
0.42,0.136942888135428
0.43,0.119701143979034
0.44,0.103562770986413
0.45,0.0886430864204025
0.46,0.0750467401438866
0.47,0.0628654724597952
0.48,0.0521757191642369
0.49,0.0430354319074395
0.5,0.0354789111256768
0.51,0.0295796102966063
0.52,0.0263195318914573
0.53,0.023317725185178
0.54,0.0226557216352689
0.55,0.0228829585936948
0.56,0.0250126245667995
0.57,0.0286501266041841
0.58,0.0336969377265838
0.59,0.040065351613486
0.6,0.0476634980976252
0.61,0.0563915651986003
0.62,0.0661573072250937
0.63,0.0768560707814263
0.64,0.088386404820311
0.65,0.100648020605075
0.66,0.113549741191343
0.67,0.126994372714888
0.68,0.140893409515981
0.69,0.155163125469621
0.7,0.169724527007466
0.71,0.184505067385728
0.72,0.199437250336448
0.73,0.214459558653892
0.74,0.229515577068512
0.75,0.244538572282532
0.76,0.259536298576483
0.77,0.274404811298602
0.78,0.289107132029373
0.79,0.303719459071721
0.8,0.318109008853523
0.81,0.33228010839982
0.82,0.346216115367249
0.83,0.35990178087602
0.84,0.373324377364269
0.85,0.386473663127686
0.86,0.39934167387342
0.87,0.411922352669486
0.88,0.424212001577946
0.89,0.436207751607909
0.9,0.447908624183482
0.91,0.459314759308023
0.92,0.47042734925164
0.93,0.481248492791649
0.94,0.491781051455936
0.95,0.502028579437405
0.96,0.51199511774264
0.97,0.521685185275258
0.98,0.531103652533651
0.99,0.540255687779526
1,0.549146668855108
1.01,0.557782134705408
1.02,0.566167739573728
1.03,0.574309201800321
1.04,0.582212263983555
1.05,0.589882668714869
1.06,0.597326122478379
1.07,0.604548273392902
1.08,0.611554691574312
1.09,0.618350845799785
1.1,0.624942101253415
1.11,0.63133369582908
1.12,0.637530738686643
1.13,0.643538192779503
1.14,0.649360884484451
1.15,0.655003473089277
1.16,0.660470475950461
1.17,0.6657662451932
1.18,0.67089498108541
1.19,0.67586071319841
1.2,0.680667320461884
1.21,0.68531851165374
1.22,0.68981784383363
1.23,0.694168707837209
1.24,0.698374338389835
1.25,0.702437818467761
1.26,0.70636206280492
1.27,0.710149840565111
1.28,0.713803761500164
1.29,0.717326287169198
1.3,0.720719725969461
1.31,0.723986229339193
1.32,0.727127796966135
1.33,0.730146289047816
1.34,0.733043396111051
1.35,0.735820670596632
1.36,0.738479512701381
1.37,0.741021151110944
1.38,0.74344666409499
1.39,0.745756960038127
1.4,0.747952786595749
1.41,0.750034706542927
1.42,0.752003120245646
1.43,0.753858248609197
1.44,0.75560011540287
1.45,0.757228560231035
1.46,0.758743201559099
1.47,0.760143456121874
1.48,0.7614285085917
1.49,0.762597290895781
1.5,0.763648493647206
1.51,0.764580518695825
1.52,0.76539148430719
1.53,0.766079193554698
1.54,0.766641110871781
1.55,0.767074334668707
1.56,0.767375581011996
1.57,0.767541126566942
1.58,0.767566796768596
1.59,0.767447911165078
1.6,0.767179241180636
1.61,0.766754964312557
1.62,0.76616859460627
1.63,0.765412934917185
1.64,0.764480001412626
1.65,0.763360936597691
1.66,0.762045934853507
1.67,0.760524135792251
1.68,0.758783507160494
1.69,0.756810742306724
1.7,0.754591106580084
1.71,0.752108282924013
1.72,0.749344220795444
1.73,0.746278924822856
1.74,0.742890255067647
1.75,0.739153699430149
1.76,0.735042107614465
1.77,0.730525420815057
1.78,0.725570374950778
1.79,0.720140166049472
1.8,0.71419411836363
1.81,0.707687318441467
1.82,0.700570292966207
1.83,0.692788644670918
1.84,0.684282768344487
1.85,0.674987656368579
1.86,0.664832793682898
1.87,0.653742305479098
1.88,0.641635392090064
1.89,0.628427220910853
1.9,0.614030434977395
1.91,0.598357575505292
1.92,0.581324649724972
1.93,0.562856251724965
1.94,0.542892689766912
1.95,0.521399511298873
1.96,0.498379883611045
1.97,0.473890077037152
1.98,0.448057901201476
1.99,0.421103379577744
2,0.393359824020172
2.01,0.365292280014347
2.02,0.33750858532828
2.03,0.310757084017311
2.04,0.28590460361226
2.05,0.263889801323309
2.06,0.24565104903731
2.07,0.232034618199456
2.08,0.223696447311302
2.09,0.22101642120941
2.1,0.224044613636968
2.11,0.232492852271947
2.12,0.245773802265102
2.13,0.263077643060438
2.14,0.28346826789767
2.15,0.305979151212157
2.16,0.329693238459967
2.17,0.353798483441937
2.18,0.377617783624575
2.19,0.400617163184521
2.2,0.422398332198296
2.21,0.442681905652724
2.22,0.461286520366839
2.23,0.478107473571378
2.24,0.493097113888152
2.25,0.506248031543886
2.26,0.517579362130936
2.27,0.527126065320574
2.28,0.534930770854416
2.29,0.541037806465113
2.3,0.545488906764969
2.31,0.548320311039592
2.32,0.549560813988708
2.33,0.549230716157813
2.34,0.547341323914697
2.35,0.543895033494609
2.36,0.538885910911817
2.37,0.532300740947149
2.38,0.524120664647458
2.39,0.514323438553176
2.4,0.502886505072726
2.41,0.489791016947723
2.42,0.475027017211801
2.43,0.458599980218698
2.44,0.440538867860203
2.45,0.420905793335729
2.46,0.399807218856166
2.47,0.377406311183042
2.48,0.353935716087423
2.49,0.329709508682232
2.5,0.305132415869318
2.51,0.280703874535527
2.52,0.25701407483796
2.53,0.234729254489834
2.54,0.214564304350031
2.55,0.197242526482773
2.56,0.183444942338312
2.57,0.173754487765649
2.58,0.168602859186631
2.59,0.168228787479566
2.6,0.172655276145441
2.61,0.181690085697184
2.62,0.19494915778507
2.63,0.211898242477801
2.64,0.231905033398594
2.65,0.254293285476477
2.66,0.278391550048372
2.67,0.303571692239463
2.68,0.329275103739946
2.69,0.355027034190001
2.7,0.380440971684873
2.71,0.405215717668753
2.72,0.429127694880353
2.73,0.452020715496417
2.74,0.473794812180821
2.75,0.494395347293291
2.76,0.513803064597455
2.77,0.532025447349987
2.78,0.549089492563356
2.79,0.565035838992708
2.8,0.579914138160673
2.81,0.593779464428709
2.82,0.606689608274814
2.83,0.618703081417133
2.84,0.629877670153956
2.85,0.640269447933342
2.86,0.649932122698604
2.87,0.658916592721231
2.88,0.667270752861894
2.89,0.675039395321216
2.9,0.682264207963149
2.91,0.688983869926609
2.92,0.695234145014214
2.93,0.701048047982078
2.94,0.70645600250388
2.95,0.71148599264062
2.96,0.716163764589305
2.97,0.720512967911368
2.98,0.724555322522757
2.99,0.728310775605912
3,0.731797637252004
3.01,0.735032715110433
3.02,0.73803144026504
3.03,0.740807964983128
3.04,0.743375305364989
3.05,0.745745380605489
3.06,0.74792914604393
3.07,0.749936648622839
3.08,0.751777108006498
3.09,0.75345897330955
3.1,0.754989983271872
3.11,0.75637722247453
3.12,0.757627171152858
3.13,0.75874573383918
3.14,0.759738303520888
3.15,0.760609760770798
3.16,0.761364537447861
3.17,0.762006625660239
3.18,0.762539605832811
3.19,0.762966668213809
3.2,0.763290628815252
3.21,0.763513952869731
3.22,0.76363875916971
3.23,0.763666839752478
3.24,0.763599670473795
3.25,0.763438406920887
3.26,0.763183900433072
3.27,0.762836704053007
3.28,0.762397069278934
3.29,0.761864949388685
3.3,0.761240000688168
3.31,0.760521568098925
3.32,0.75970870745048
3.33,0.758800149105211
3.34,0.757794311045623
3.35,0.756689268393229
3.36,0.755482782119822
3.37,0.754172231645394
