"Freq [GHz]","mag(S(SMA_connector_FPRFS_IP1_1,SMA_connector_FPRFS_IP1_1)) []"
0.1,0.868486579254207
0.11,0.867947680840697
0.12,0.867424915857814
0.13,0.866929458190021
0.14,0.866470261307448
0.15,0.866054164857655
0.16,0.86568604762192
0.17,0.865369017661092
0.18,0.865104627048769
0.19,0.864893098187665
0.2,0.864733550115694
0.21,0.864624215503651
0.22,0.864562641596282
0.23,0.864545870766248
0.24,0.864570598429024
0.25,0.864633307722963
0.26,0.864730381588221
0.27,0.864858193721631
0.28,0.865013180404033
0.29,0.865191895460223
0.3,0.865391050684289
0.31,0.865607544001317
0.32,0.865838477486845
0.33,0.86608116716429
0.34,0.86633314627521
0.35,0.866592163486697
0.36,0.866856177277752
0.37,0.867123347539925
0.38,0.867392025241528
0.39,0.867660740841014
0.4,0.867928191993877
0.41,0.868193230977544
0.42,0.868454852158417
0.43,0.868712179742579
0.44,0.868964455984271
0.45,0.869211029972195
0.46,0.869451347070721
0.47,0.869684939059594
0.48,0.869911414989918
0.49,0.870130452754778
0.5,0.870341791358537
0.51,0.870545223858622
0.52,0.870740590946704
0.53,0.870927775131704
0.54,0.871106695484663
0.55,0.871277302904503
0.56,0.871439575863902
0.57,0.871593516595448
0.58,0.871739147679757
0.59,0.871876508999185
0.6,0.8720056550229
0.61,0.872126652391337
0.62,0.872239577770452
0.63,0.872344515948405
0.64,0.872441558149616
0.65,0.872530800543281
0.66,0.872612342925417
0.67,0.872686287555499
0.68,0.872752738130477
0.69,0.872811798880611
0.7,0.872863573773123
0.71,0.872908165810985
0.72,0.872945676415496
0.73,0.872976204882391
0.74,0.872999847902313
0.75,0.873016699137398
0.76,0.873026848846563
0.77,0.873030383552879
0.78,0.873027385747045
0.79,0.873017933621654
0.8,0.873002100831419
0.81,0.872979956275061
0.82,0.872951563894972
0.83,0.872916982491148
0.84,0.872876265546228
0.85,0.872829461058762
0.86,0.872776611382113
0.87,0.87271775306659
0.88,0.872652916702635
0.89,0.87258212676305
0.9,0.872505401442367
0.91,0.872422752491631
0.92,0.872334185046927
0.93,0.872239697450068
0.94,0.872139281059959
0.95,0.872032920053132
0.96,0.871920591212052
0.97,0.87180226369974
0.98,0.871677898819313
0.99,0.871547449756994
1,0.871410861307141
1.01,0.871268069577774
1.02,0.871119001675069
1.03,0.870963575365186
1.04,0.870801698711719
1.05,0.870633269687
1.06,0.87045817575532
1.07,0.870276293426067
1.08,0.870087487774589
1.09,0.869891611928476
1.1,0.869688506516741
1.11,0.869477999079219
1.12,0.869259903433248
1.13,0.869034018994506
1.14,0.868800130048546
1.15,0.868558004969347
1.16,0.868307395380814
1.17,0.868048035256849
1.18,0.867779639955176
1.19,0.867501905179721
1.2,0.867214505865795
1.21,0.866917094981866
1.22,0.86660930224107
1.23,0.866290732714986
1.24,0.865960965341464
1.25,0.865619551317504
1.26,0.865266012367319
1.27,0.864899838874699
1.28,0.864520487867745
1.29,0.864127380842805
1.3,0.863719901413136
1.31,0.863297392766282
1.32,0.862859154912534
1.33,0.862404441704974
1.34,0.861932457609515
1.35,0.861442354201082
1.36,0.86093322635946
1.37,0.860404108135466
1.38,0.859853968254864
1.39,0.859281705223792
1.4,0.858686141995437
1.41,0.858066020153069
1.42,0.857419993559413
1.43,0.856746621416565
1.44,0.856044360674055
1.45,0.855311557715352
1.46,0.85454643924472
1.47,0.853747102286959
1.48,0.852911503201832
1.49,0.852037445602995
1.5,0.851122567057448
1.51,0.850164324426042
1.52,0.849159977687907
1.53,0.848106572071552
1.54,0.847000918292569
1.55,0.845839570671854
1.56,0.844618802878629
1.57,0.843334581008692
1.58,0.841982533669924
1.59,0.84055791870297
1.6,0.839055586114982
1.61,0.837469936747028
1.62,0.835794876130556
1.63,0.834023762913909
1.64,0.832149351155179
