"Freq [GHz]","RadiationEfficiency []"
0.1,0.00118563689420883
0.11,0.00123891001803021
0.12,0.00127959861099186
0.13,0.00131043843549267
0.14,0.0013340306607122
0.15,0.00135290522187776
0.16,0.00136933166092276
0.17,0.0013850258691418
0.18,0.0014003760069328
0.19,0.00141480382819163
0.2,0.00144382630309235
0.21,0.0014859361599017
0.22,0.00153167111942494
0.23,0.00158395367650862
0.24,0.00164467881835708
0.25,0.00171485081246405
0.26,0.00179510726968819
0.27,0.00188589817963431
0.28,0.00198754529234957
0.29,0.00210027916975524
0.3,0.00222426081775737
0.31,0.00235959183379483
0.32,0.00250632205917597
0.33,0.00266445230541527
0.34,0.00283392547747488
0.35,0.00301457615003601
0.36,0.00320584470361761
0.37,0.00340362565904326
0.38,0.00283839555521564
0.39,0.00384673726077077
0.4,0.00408757768378953
0.41,0.00433572425906994
0.42,0.00459324179328488
0.43,0.00486276947241884
0.44,0.00514171091186344
0.45,0.005430772187946
0.46,0.00572982003970227
0.47,0.00603869475794206
0.48,0.00635722964510346
0.49,0.00668525403390688
0.5,0.00702259455142614
0.51,0.00736907996597809
0.52,0.00772444696314752
0.53,0.00808868763430445
0.54,0.00846146791712669
0.55,0.00884240889900511
0.56,0.00923213523658701
0.57,0.00962969818104086
0.58,0.0100354119238588
0.59,0.0104482873788038
0.6,0.0108683982772607
0.61,0.0112971185123284
0.62,0.0117317905889798
0.63,0.0121734667248177
0.64,0.0126217260668811
0.65,0.0130740935723898
0.66,0.0135382362195726
0.67,0.0140056211648553
0.68,0.0144788700064245
0.69,0.0149578006663547
0.7,0.0154422072993919
0.71,0.0159318800979893
0.72,0.0164266056052344
0.73,0.0169261944249703
0.74,0.0174303869033137
0.75,0.0179389971366403
0.76,0.0184518114142604
0.77,0.0189685932126559
0.78,0.0194891325744662
0.79,0.0200132051825114
0.8,0.0205405874437136
0.81,0.0210710538491529
0.82,0.0216043775540304
0.83,0.0221403302905951
0.84,0.0226786822755367
0.85,0.0232192025231793
0.86,0.0237616569558364
0.87,0.0243058084766034
0.88,0.024851456313964
0.89,0.0253983146132954
0.9,0.0259461593956762
0.91,0.026494759650384
0.92,0.0270438737938792
0.93,0.0275932597158968
0.94,0.0281426748084666
0.95,0.0286918750872687
0.96,0.0292406151777934
0.97,0.0297886488177694
0.98,0.0303357284440157
0.99,0.0308816055776677
1,0.0314260306606797
1.01,0.0319687521009885
1.02,0.0325095182259642
1.03,0.033048075521767
1.04,0.0335841695160113
1.05,0.0341175443161021
1.06,0.0346479429801101
1.07,0.0351751071633635
1.08,0.0356987772707986
1.09,0.0362186919781305
1.1,0.0367345888981693
1.11,0.0372462045192608
1.12,0.037753273263066
1.13,0.0382555282666831
1.14,0.0387527007511942
1.15,0.0392445208313255
1.16,0.0397307164598042
1.17,0.0402110136771935
1.18,0.0406851377946325
1.19,0.0411528096584618
1.2,0.0416137512231591
1.21,0.0420676805048059
1.22,0.0425143123767283
1.23,0.0429533621501651
1.24,0.0433845409752643
1.25,0.0438075575241138
1.26,0.0442221183508989
1.27,0.0446279277205493
1.28,0.045024687461781
1.29,0.045412096609138
1.3,0.045789853308719
1.31,0.0461576562421977
1.32,0.0465152054872516
1.33,0.0468622088890915
1.34,0.0471983836719502
1.35,0.0475234643252532
1.36,0.0478372001499236
1.37,0.0481393379366348
1.38,0.0484295956832239
1.39,0.0487076300177204
1.4,0.0489730400795165
1.41,0.0492254030216161
1.42,0.0494643131884696
1.43,0.0496893994949752
1.44,0.0499003225224902
1.45,0.0500967574753301
1.46,0.0502783859034505
1.47,0.0504448888802668
1.48,0.0505959444906598
1.49,0.0507312264882253
1.5,0.0508504070171213
1.51,0.0509531540582716
1.52,0.0510391358140884
1.53,0.0511080193558768
1.54,0.0511594712527102
1.55,0.0511931605533907
1.56,0.0512087575455099
1.57,0.0512059348090545
1.58,0.0511843698718465
1.59,0.0511437455505174
1.6,0.0510837487865945
1.61,0.0510040759562524
1.62,0.0509044317489188
1.63,0.0507845302801407
1.64,0.0506441000415748
1.65,0.0504828829555011
1.66,0.0503006374158249
1.67,0.0500971431510712
1.68,0.0498721994567749
1.69,0.0496256344587737
1.7,0.0493573030874585
1.71,0.0490670948055762
1.72,0.0487549363596014
1.73,0.0484207975705053
1.74,0.0480646958115331
1.75,0.0476867007740776
1.76,0.0472869451878201
1.77,0.0468656246197996
1.78,0.0464230107990862
1.79,0.0459594552572312
1.8,0.0454753995374579
1.81,0.0449713816719408
1.82,0.0444480456212419
1.83,0.0439061494714586
1.84,0.0433465729702143
1.85,0.0427703253823929
1.86,0.0421785535774259
1.87,0.0415725464159572
1.88,0.0409537409618055
1.89,0.0403237238606365
1.9,0.0396842318934429
1.91,0.0390371502251188
1.92,0.0383845055333719
1.93,0.0377284544740471
1.94,0.0370712722422402
1.95,0.0364153287817745
1.96,0.0357630660596695
1.97,0.0351169654801059
1.98,0.0344795104208457
1.99,0.0338531452397724
2,0.0332402259994139
2.01,0.0326429694811635
2.02,0.0320633981554206
2.03,0.0315032853761182
2.04,0.0309640984781753
2.05,0.0304469484749686
2.06,0.0299525429677916
2.07,0.0294811473954715
2.08,0.0290325568909561
2.09,0.0286060812670111
2.1,0.0282005420909083
2.11,0.0278142876550064
2.12,0.0274452215178098
2.13,0.0270908456889923
2.14,0.0267483201818822
2.15,0.0264145309294365
2.16,0.0260861702935835
2.17,0.0257598222021255
2.18,0.0254320507281734
2.19,0.0250994889498044
2.2,0.0247589255470779
2.21,0.0244073847895524
2.22,0.0240421992545402
2.23,0.0236610734766494
2.24,0.0232621365537847
2.25,0.0228439833980033
2.26,0.0224057056267511
2.27,0.0219469107532199
2.28,0.0214677310632341
2.29,0.0209688225242416
2.3,0.0204513552309669
2.31,0.0199169955391433
2.32,0.019367880834547
2.33,0.0188065877016473
2.34,0.018236094484249
2.35,0.0176597379537205
2.36,0.0170811660434122
2.37,0.0165042846081398
2.38,0.0159332015179646
2.39,0.0153721663699636
2.4,0.0148255072015937
2.41,0.0142975653583507
2.42,0.0137926272484624
2.43,0.0133148572285822
2.44,0.0128682290323576
2.45,0.0124564604662894
2.46,0.0120829491305616
2.47,0.011750714723517
2.48,0.0114623453895105
2.49,0.0112199524659569
2.5,0.0110251335513871
2.51,0.0108789455346362
2.52,0.0107818879388806
2.53,0.0107338981138305
2.54,0.0107343574496717
2.55,0.0107821094827913
2.56,0.0108754886723419
2.57,0.0110123598835888
2.58,0.0111901668697198
2.59,0.0114059890714467
2.6,0.0116566052683465
2.61,0.0119385615994397
2.62,0.0122482403178779
2.63,0.0125819246634579
2.64,0.0129358491447059
2.65,0.0133062272218134
2.66,0.0136892529294189
2.67,0.0140810920697588
2.68,0.0144778980497776
2.69,0.0148758820747095
2.7,0.0152714270037114
2.71,0.0156611965873088
2.72,0.016042195535607
2.73,0.0164117767181323
2.74,0.0167676162784087
2.75,0.0171076825072039
2.76,0.0174302095305351
2.77,0.0177336786786655
2.78,0.0180168046376957
2.79,0.0182785237468718
2.8,0.0185179836837578
2.81,0.0187345313321565
2.82,0.0189277008794546
2.83,0.0190972015128853
2.84,0.0192429038577162
2.85,0.0193648271648134
2.86,0.0194631263152023
2.87,0.0195380788837076
2.88,0.0195900739886042
2.89,0.0196195997270004
2.9,0.0196272334553601
2.91,0.019613631192489
2.92,0.0195795189194974
2.93,0.0195256838501836
2.94,0.0194529668014096
2.95,0.0193622552619318
2.96,0.0192544770778045
2.97,0.019130594150176
2.98,0.0189915975524059
2.99,0.0188385015628773
3,0.018672340267363
3.01,0.0184941609428955
3.02,0.0183050200074067
3.03,0.0181059772218705
3.04,0.0178980887596566
3.05,0.0176823989036324
3.06,0.0174599281051233
3.07,0.0172316560155149
3.08,0.0169984946092773
3.09,0.0167612431249327
3.1,0.0165205103038237
3.11,0.0162765666989864
3.12,0.0160290492383439
3.13,0.0157763248319313
3.14,0.0155140131653115
3.15,0.0152314936733999
3.16,0.0149063345349214
3.17,0.01454190773919
3.18,0.014420010419838
3.19,0.0144802165338834
3.2,0.0143939767468361
3.21,0.0142429236985978
3.22,0.0140782921510359
3.23,0.0139148112474073
3.24,0.0137571359790815
3.25,0.0136089338491075
3.26,0.0134765751018391
3.27,0.0133678436391431
3.28,0.0132870122488446
3.29,0.0132334102454631
3.3,0.0132045934822289
3.31,0.0131989632098636
3.32,0.0132162275383798
3.33,0.0132569807973415
3.34,0.0133222825107483
3.35,0.0134134129173527
3.36,0.0135317583903901
3.37,0.0136787643452656
3.38,0.0138559204872132
3.39,0.0140647591064734
3.4,0.0143068594752054
3.41,0.014583851584061
3.42,0.0148974198475055
3.43,0.0152493016393396
3.44,0.015641279307492
3.45,0.016075157306457
3.46,0.0165527169034792
3.47,0.017075628206842
3.48,0.0176452948295632
3.49,0.0182625927733623
3.5,0.0189274786158514
3.51,0.0196385229398679
3.52,0.0203926756219696
3.53,0.0211860477088549
3.54,0.0220167077666619
3.55,0.0228889955052761
3.56,0.0238154602555616
3.57,0.0248125709137271
3.58,0.0258933459445007
3.59,0.0270638532271415
3.6,0.0283248086332997
3.61,0.0296746064861253
3.62,0.0311112106069854
3.63,0.0326326848572352
3.64,0.0342369738034458
3.65,0.035921452999022
3.66,0.0376825778773165
3.67,0.0395158909346038
3.68,0.041416611522544
3.69,0.0433808252603727
3.7,0.045406871820978
3.71,0.0474959694342997
3.72,0.0496510469011106
3.73,0.0518734739389407
3.74,0.0541584456119773
3.75,0.0564901643237361
3.76,0.0588372900326863
3.77,0.0611480402436091
3.78,0.0633444091895373
3.79,0.0653183933964381
3.8,0.0669394214874268
3.81,0.0680846754736907
3.82,0.0686944402659484
3.83,0.0688293864027369
3.84,0.0686799924679332
3.85,0.0684929505302192
3.86,0.0684541165665451
3.87,0.068623514661108
3.88,0.0689666606294678
3.89,0.0694278655331288
3.9,0.0699733869626355
3.91,0.0705900981914259
3.92,0.0712647462120977
3.93,0.071966708440374
3.94,0.0726447738595814
3.95,0.0732383875230567
3.96,0.0736951886703191
3.97,0.0739843654260001
3.98,0.0741002813171173
3.99,0.0740561163110414
4,0.0738695672626605
4.01,0.0735455719694118
4.02,0.0730664159229252
4.03,0.0723994740768176
4.04,0.0715197733867254
4.05,0.0704305623813666
4.06,0.0691687773379188
4.07,0.0677972146509753
4.08,0.0663926598004595
4.09,0.0650364053418677
4.1,0.0638086648886294
4.11,0.0627854040968401
4.12,0.0620340317810726
4.13,0.061602270777724
4.14,0.0614953379820357
4.15,0.0616466922968435
4.16,0.0619058492345211
4.17,0.0620697399518806
4.18,0.0619514431490221
4.19,0.0614456208884304
4.2,0.0605602247986433
4.21,0.0594136967891428
4.22,0.0582018982367466
4.23,0.0571390317728851
4.24,0.0563993841775565
4.25,0.0560959191606625
4.26,0.0562983252936942
4.27,0.0570607126969246
4.28,0.0584333832336582
4.29,0.0604538361485381
4.3,0.0631254573581293
4.31,0.0663964166165389
4.32,0.0701510778713073
4.33,0.0742225892452031
4.34,0.0784266892244338
4.35,0.0826046197906291
4.36,0.0866551498429975
4.37,0.0905409204294445
4.38,0.0942718568598431
4.39,0.0978844935446972
