"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.61250000000E+008, -1.72367387144E-001, +0.00000000000E+000
+3.64000000000E+008, -1.73218715841E-001, +0.00000000000E+000
+3.66750000000E+008, -1.72480350237E-001, +0.00000000000E+000
+3.69500000000E+008, -1.70351398520E-001, +0.00000000000E+000
+3.72250000000E+008, -1.69294075940E-001, +0.00000000000E+000
+3.75000000000E+008, -1.69763366956E-001, +0.00000000000E+000
+3.77750000000E+008, -1.69644362413E-001, +0.00000000000E+000
+3.80500000000E+008, -1.67726009537E-001, +0.00000000000E+000
+3.83250000000E+008, -1.65789879588E-001, +0.00000000000E+000
+3.86000000000E+008, -1.65612959976E-001, +0.00000000000E+000
+3.88750000000E+008, -1.66079123361E-001, +0.00000000000E+000
+3.91500000000E+008, -1.65319425332E-001, +0.00000000000E+000
+3.94250000000E+008, -1.63665577688E-001, +0.00000000000E+000
+3.97000000000E+008, -1.62895676813E-001, +0.00000000000E+000
+3.99750000000E+008, -1.62974818490E-001, +0.00000000000E+000
+4.02500000000E+008, -1.62519085968E-001, +0.00000000000E+000
+4.05250000000E+008, -1.61116701637E-001, +0.00000000000E+000
+4.08000000000E+008, -1.60024739150E-001, +0.00000000000E+000
+4.10750000000E+008, -1.59607369115E-001, +0.00000000000E+000
+4.13500000000E+008, -1.58965111835E-001, +0.00000000000E+000
+4.16250000000E+008, -1.57555308768E-001, +0.00000000000E+000
+4.19000000000E+008, -1.56451620837E-001, +0.00000000000E+000
+4.21750000000E+008, -1.56111282585E-001, +0.00000000000E+000
+4.24500000000E+008, -1.55655912337E-001, +0.00000000000E+000
+4.27250000000E+008, -1.54283603298E-001, +0.00000000000E+000
+4.30000000000E+008, -1.52728596725E-001, +0.00000000000E+000
+4.32750000000E+008, -1.52105245010E-001, +0.00000000000E+000
+4.35500000000E+008, -1.51769108052E-001, +0.00000000000E+000
+4.38250000000E+008, -1.50711417957E-001, +0.00000000000E+000
+4.41000000000E+008, -1.49111145751E-001, +0.00000000000E+000
+4.43750000000E+008, -1.48171548216E-001, +0.00000000000E+000
+4.46500000000E+008, -1.47525995444E-001, +0.00000000000E+000
+4.49250000000E+008, -1.46288261883E-001, +0.00000000000E+000
+4.52000000000E+008, -1.44590108480E-001, +0.00000000000E+000
+4.54750000000E+008, -1.43706625661E-001, +0.00000000000E+000
+4.57500000000E+008, -1.43533443338E-001, +0.00000000000E+000
+4.60250000000E+008, -1.42622316450E-001, +0.00000000000E+000
+4.63000000000E+008, -1.40392274130E-001, +0.00000000000E+000
+4.65750000000E+008, -1.38416819338E-001, +0.00000000000E+000
+4.68500000000E+008, -1.37884678327E-001, +0.00000000000E+000
+4.71250000000E+008, -1.37569567903E-001, +0.00000000000E+000
+4.74000000000E+008, -1.35883112024E-001, +0.00000000000E+000
+4.76750000000E+008, -1.33508826483E-001, +0.00000000000E+000
+4.79500000000E+008, -1.32385543831E-001, +0.00000000000E+000
+4.82250000000E+008, -1.32261599045E-001, +0.00000000000E+000
+4.85000000000E+008, -1.31447277138E-001, +0.00000000000E+000
+4.87750000000E+008, -1.29408981561E-001, +0.00000000000E+000
+4.90500000000E+008, -1.27896350634E-001, +0.00000000000E+000
+4.93250000000E+008, -1.27586961091E-001, +0.00000000000E+000
+4.96000000000E+008, -1.27204161074E-001, +0.00000000000E+000
+4.98750000000E+008, -1.25620585807E-001, +0.00000000000E+000
+5.01500000000E+008, -1.23787549509E-001, +0.00000000000E+000
+5.04250000000E+008, -1.22902199721E-001, +0.00000000000E+000
+5.07000000000E+008, -1.22153178960E-001, +0.00000000000E+000
+5.09750000000E+008, -1.20233948112E-001, +0.00000000000E+000
+5.12500000000E+008, -1.17834176224E-001, +0.00000000000E+000
+5.15250000000E+008, -1.17035546352E-001, +0.00000000000E+000
+5.18000000000E+008, -1.17185703972E-001, +0.00000000000E+000
+5.20750000000E+008, -1.16056393270E-001, +0.00000000000E+000
+5.23500000000E+008, -1.12849577298E-001, +0.00000000000E+000
+5.26250000000E+008, -1.10276194882E-001, +0.00000000000E+000
+5.29000000000E+008, -1.10085191469E-001, +0.00000000000E+000
+5.31750000000E+008, -1.10718980202E-001, +0.00000000000E+000
+5.34500000000E+008, -1.09239049467E-001, +0.00000000000E+000
+5.37250000000E+008, -1.05983471459E-001, +0.00000000000E+000
+5.40000000000E+008, -1.03520001240E-001, +0.00000000000E+000
+5.42750000000E+008, -1.02981507595E-001, +0.00000000000E+000
+5.45500000000E+008, -1.02572651654E-001, +0.00000000000E+000
+5.48250000000E+008, -1.00778582229E-001, +0.00000000000E+000
+5.51000000000E+008, -9.85499160412E-002, +0.00000000000E+000
+5.53750000000E+008, -9.71947042886E-002, +0.00000000000E+000
+5.56500000000E+008, -9.62796161599E-002, +0.00000000000E+000
+5.59250000000E+008, -9.44824810517E-002, +0.00000000000E+000
+5.62000000000E+008, -9.22766230696E-002, +0.00000000000E+000
+5.64750000000E+008, -9.07119376570E-002, +0.00000000000E+000
+5.67500000000E+008, -8.98103862702E-002, +0.00000000000E+000
+5.70250000000E+008, -8.82188070486E-002, +0.00000000000E+000
+5.73000000000E+008, -8.60841818032E-002, +0.00000000000E+000
+5.75750000000E+008, -8.46316821528E-002, +0.00000000000E+000
+5.78500000000E+008, -8.43556306529E-002, +0.00000000000E+000
+5.81250000000E+008, -8.34756166877E-002, +0.00000000000E+000
+5.84000000000E+008, -8.08778301964E-002, +0.00000000000E+000
+5.86750000000E+008, -7.82514517504E-002, +0.00000000000E+000
+5.89500000000E+008, -7.75703989912E-002, +0.00000000000E+000
+5.92250000000E+008, -7.81480518893E-002, +0.00000000000E+000
+5.95000000000E+008, -7.72142344610E-002, +0.00000000000E+000
+5.97750000000E+008, -7.42062935383E-002, +0.00000000000E+000
+6.00500000000E+008, -7.12158796211E-002, +0.00000000000E+000
+6.03250000000E+008, -7.02192124984E-002, +0.00000000000E+000
+6.06000000000E+008, -6.99126787976E-002, +0.00000000000E+000
+6.08750000000E+008, -6.85870217810E-002, +0.00000000000E+000
+6.11500000000E+008, -6.60462043090E-002, +0.00000000000E+000
+6.14250000000E+008, -6.39951140669E-002, +0.00000000000E+000
+6.17000000000E+008, -6.25404853831E-002, +0.00000000000E+000
+6.19750000000E+008, -6.06305892037E-002, +0.00000000000E+000
+6.22500000000E+008, -5.80446009862E-002, +0.00000000000E+000
+6.25250000000E+008, -5.60551052092E-002, +0.00000000000E+000
+6.28000000000E+008, -5.50348453097E-002, +0.00000000000E+000
+6.30750000000E+008, -5.34208700964E-002, +0.00000000000E+000
+6.33500000000E+008, -5.03513569889E-002, +0.00000000000E+000
+6.36250000000E+008, -4.71151507736E-002, +0.00000000000E+000
+6.39000000000E+008, -4.56800581196E-002, +0.00000000000E+000
+6.41750000000E+008, -4.51986718109E-002, +0.00000000000E+000
+6.44500000000E+008, -4.38546867941E-002, +0.00000000000E+000
+6.47250000000E+008, -4.10522245554E-002, +0.00000000000E+000
+6.50000000000E+008, -3.88685053971E-002, +0.00000000000E+000
+6.52750000000E+008, -3.77937250252E-002, +0.00000000000E+000
+6.55500000000E+008, -3.65812165430E-002, +0.00000000000E+000
+6.58250000000E+008, -3.38631359810E-002, +0.00000000000E+000
+6.61000000000E+008, -3.08677803718E-002, +0.00000000000E+000
+6.63750000000E+008, -2.88784808621E-002, +0.00000000000E+000
+6.66500000000E+008, -2.75846181225E-002, +0.00000000000E+000
+6.69250000000E+008, -2.58238371849E-002, +0.00000000000E+000
+6.72000000000E+008, -2.36322529937E-002, +0.00000000000E+000
+6.74750000000E+008, -2.20288204148E-002, +0.00000000000E+000
+6.77500000000E+008, -2.04426502577E-002, +0.00000000000E+000
+6.80250000000E+008, -1.82916374434E-002, +0.00000000000E+000
+6.83000000000E+008, -1.57247940511E-002, +0.00000000000E+000
+6.85750000000E+008, -1.43519766289E-002, +0.00000000000E+000
+6.88500000000E+008, -1.36196247428E-002, +0.00000000000E+000
+6.91250000000E+008, -1.19958639610E-002, +0.00000000000E+000
+6.94000000000E+008, -8.82301767922E-003, +0.00000000000E+000
+6.96750000000E+008, -6.51032335986E-003, +0.00000000000E+000
+6.99500000000E+008, -6.13311364727E-003, +0.00000000000E+000
+7.02250000000E+008, -6.06641774361E-003, +0.00000000000E+000
+7.05000000000E+008, -4.07486297134E-003, +0.00000000000E+000
+7.07750000000E+008, -7.96203843718E-004, +0.00000000000E+000
+7.10500000000E+008, +1.63269063782E-003, +0.00000000000E+000
+7.13250000000E+008, +3.00162529091E-003, +0.00000000000E+000
+7.16000000000E+008, +4.53937241446E-003, +0.00000000000E+000
+7.18750000000E+008, +6.84582019442E-003, +0.00000000000E+000
+7.21500000000E+008, +8.46195447119E-003, +0.00000000000E+000
+7.24250000000E+008, +9.53596604772E-003, +0.00000000000E+000
+7.27000000000E+008, +1.11726330054E-002, +0.00000000000E+000
+7.29750000000E+008, +1.39172721338E-002, +0.00000000000E+000
+7.32500000000E+008, +1.56290960404E-002, +0.00000000000E+000
+7.35250000000E+008, +1.62136908722E-002, +0.00000000000E+000
+7.38000000000E+008, +1.75482167668E-002, +0.00000000000E+000
+7.40750000000E+008, +2.09886638527E-002, +0.00000000000E+000
+7.43500000000E+008, +2.41744939137E-002, +0.00000000000E+000
+7.46250000000E+008, +2.49310887718E-002, +0.00000000000E+000
+7.49000000000E+008, +2.50486825379E-002, +0.00000000000E+000
+7.51750000000E+008, +2.76104865926E-002, +0.00000000000E+000
+7.54500000000E+008, +3.19612075694E-002, +0.00000000000E+000
+7.57250000000E+008, +3.42912006245E-002, +0.00000000000E+000
+7.60000000000E+008, +3.44614608207E-002, +0.00000000000E+000
+7.62750000000E+008, +3.55996543727E-002, +0.00000000000E+000
+7.65500000000E+008, +3.96858291048E-002, +0.00000000000E+000
+7.68250000000E+008, +4.33984419807E-002, +0.00000000000E+000
+7.71000000000E+008, +4.45482600700E-002, +0.00000000000E+000
