"Freq [GHz]","dB(S(SMA_connector_1_5mm_general1_1,SMA_connector_1_5mm_general1_1)) []"
1.6,-0.325914474144325
1.61,-0.330619565698769
1.62,-0.335386337154925
1.63,-0.340216264723608
1.64,-0.345110932578467
1.65,-0.350072040335207
1.66,-0.355101411050257
1.67,-0.36020099978058
1.68,-0.365372902752528
1.69,-0.370619367189998
1.7,-0.375942801859424
1.71,-0.381345788393466
1.72,-0.386831093462139
1.73,-0.392401681867474
1.74,-0.39806073064539
1.75,-0.403811644267553
1.76,-0.409658071045974
1.77,-0.415603920854177
1.78,-0.421653384291042
1.79,-0.427810953427966
1.8,-0.434081444295373
1.81,-0.440470021282027
1.82,-0.44698222364156
1.83,-0.453623994322031
1.84,-0.460401711360635
1.85,-0.467322222114267
1.86,-0.474392880628965
1.87,-0.481621588489195
1.88,-0.489016839529439
1.89,-0.496587768838647
1.9,-0.504344206543604
1.91,-0.512296736919083
1.92,-0.520456763445058
1.93,-0.528836580513136
1.94,-0.537449452579086
1.95,-0.546309701667334
1.96,-0.555432804258275
1.97,-0.564835498735156
1.98,-0.574535904734591
1.99,-0.584553655940209
2,-0.594910048085407
2.01,-0.605628204196029
2.02,-0.616733259411912
2.03,-0.628252568088584
2.04,-0.640215936304473
2.05,-0.652655883398644
2.06,-0.665607936753078
2.07,-0.679110964731066
2.08,-0.693207553508814
2.09,-0.707944434521017
2.1,-0.723372970412804
2.11,-0.739549708791933
2.12,-0.756537014757016
2.13,-0.774403795200383
2.14,-0.793226330326098
2.15,-0.813089230781051
2.16,-0.834086542389856
2.17,-0.856323024864482
2.18,-0.879915636219515
2.19,-0.904995261204166
2.2,-0.931708730174168
2.21,-0.960221184861716
2.22,-0.990718859967887
2.23,-1.02341236504903
2.24,-1.05854057063969
2.25,-1.09637522704582
2.26,-1.1372264751795
2.27,-1.1814494480702
2.28,-1.22945221174326
2.29,-1.28170535828275
2.3,-1.3387536464482
2.31,-1.40123019203421
2.32,-1.46987384910969
2.33,-1.54555060501152
2.34,-1.62928005105057
2.35,-1.7222683073506
2.36,-1.82594920192112
2.37,-1.94203607007855
2.38,-2.0725873064154
2.39,-2.22008984846854
2.4,-2.38756621874111
